Start Time,End Time,Trip Duration,Start Station,End Station,User Type,Gender,Birth Year
3/24/2017 12:39,3/24/2017 12:52,772,Michigan Ave & Oak St,Cannon Dr & Fullerton Ave,Subscriber,Male,1993
2/27/2017 8:25,2/27/2017 8:44,1110,Clifton Ave & Armitage Ave,Daley Center Plaza,Subscriber,Male,1972
5/26/2017 17:03,5/26/2017 17:13,585,Clinton St & Jackson Blvd,Kingsbury St & Erie St,Subscriber,Male,1989
5/30/2017 14:44,5/30/2017 14:51,454,Sheffield Ave & Fullerton Ave,Damen Ave & Clybourn Ave,Subscriber,Male,1990
5/17/2017 9:10,5/17/2017 9:19,545,Michigan Ave & Congress Pkwy,Lake Shore Dr & Monroe St,Customer,,
6/12/2017 6:45,6/12/2017 6:54,505,Sheridan Rd & Loyola Ave,Clark St & Lunt Ave,Subscriber,Male,1977
6/4/2017 23:45,6/5/2017 2:03,8297,Wabash Ave & Roosevelt Rd,Wabash Ave & Roosevelt Rd,Customer,,
3/19/2017 15:26,3/19/2017 15:32,348,Pine Grove Ave & Irving Park Rd,Sheridan Rd & Montrose Ave,Subscriber,Female,1994
5/31/2017 14:45,5/31/2017 14:47,125,St. Clair St & Erie St,McClurg Ct & Erie St,Subscriber,Male,1986
4/14/2017 13:04,4/14/2017 13:07,167,Sedgwick St & North Ave,Clybourn Ave & Division St,Subscriber,Male,1992
6/22/2017 10:49,6/22/2017 10:55,340,Wentworth Ave & 33rd St,State St & 29th St,Subscriber,Male,1986
4/24/2017 16:30,4/24/2017 16:34,255,Bissell St & Armitage Ave,Southport Ave & Clybourn Ave,Subscriber,Male,1981
1/20/2017 17:10,1/20/2017 17:18,509,Ogden Ave & Chicago Ave,Green St & Randolph St,Subscriber,Male,1964
6/6/2017 17:13,6/6/2017 17:30,1036,Wabash Ave & Adams St,Clybourn Ave & Division St,Subscriber,Male,1985
6/28/2017 9:23,6/28/2017 9:42,1154,Wabash Ave & 8th St,Franklin St & Jackson Blvd,Customer,,
5/2/2017 16:43,5/2/2017 16:55,673,Franklin St & Chicago Ave,Sheffield Ave & Willow St,Subscriber,Male,1983
2/7/2017 13:48,2/7/2017 13:51,165,Sheffield Ave & Wrightwood Ave,Racine Ave & Fullerton Ave,Subscriber,Male,1994
6/11/2017 12:46,6/11/2017 12:57,652,Streeter Dr & Grand Ave,Mies van der Rohe Way & Chestnut St,Customer,,
5/25/2017 15:04,5/25/2017 15:35,1835,McClurg Ct & Illinois St,Theater on the Lake,Customer,,
3/14/2017 15:23,3/14/2017 15:32,501,Clinton St & Lake St,Clinton St & Jackson Blvd,Subscriber,Male,1983
4/6/2017 19:46,4/6/2017 19:53,380,Southport Ave & Waveland Ave,Southport Ave & Belmont Ave,Subscriber,Male,1986
4/4/2017 16:59,4/4/2017 17:09,583,Wabash Ave & Grand Ave,Canal St & Madison St,Subscriber,Male,1988
5/27/2017 16:41,5/27/2017 17:07,1530,Clark St & Lincoln Ave,Lake Shore Dr & Ohio St,Customer,,
5/16/2017 16:05,5/16/2017 16:24,1135,St. Clair St & Erie St,Rush St & Hubbard St,Customer,,
6/15/2017 17:34,6/15/2017 17:47,769,State St & Randolph St,Larrabee St & Kingsbury St,Subscriber,Male,1990
1/25/2017 13:28,1/25/2017 13:32,203,Michigan Ave & Lake St,Fairbanks Ct & Grand Ave,Subscriber,Female,1991
2/3/2017 17:54,2/3/2017 18:20,1532,LaSalle St & Jackson Blvd,Clark St & North Ave,Subscriber,Male,1969
6/17/2017 19:32,6/17/2017 19:58,1544,Lakefront Trail & Bryn Mawr Ave,Montrose Harbor,Subscriber,Male,1994
5/20/2017 18:44,5/20/2017 18:46,117,Indiana Ave & Roosevelt Rd,Indiana Ave & Roosevelt Rd,Customer,,
6/25/2017 15:46,6/25/2017 16:07,1235,State St & Harrison St,State St & Kinzie St,Customer,,
3/7/2017 17:35,3/7/2017 17:43,480,Glenwood Ave & Morse Ave,Paulina St & Howard St,Subscriber,Female,1990
4/25/2017 11:50,4/25/2017 12:02,762,Streeter Dr & Grand Ave,Clark St & North Ave,Subscriber,Male,1985
1/9/2017 8:14,1/9/2017 8:18,262,Franklin St & Jackson Blvd,Clinton St & Tilden St,Subscriber,Male,1966
5/27/2017 9:09,5/27/2017 9:20,649,Franklin St & Jackson Blvd,Wells St & Elm St,Subscriber,Male,1985
6/15/2017 8:29,6/15/2017 8:52,1404,Lake Shore Dr & Belmont Ave,Paulina Ave & North Ave,Subscriber,Male,1986
2/2/2017 22:26,2/2/2017 22:32,337,Bissell St & Armitage Ave,Southport Ave & Clybourn Ave,Subscriber,Female,1990
4/19/2017 11:45,4/19/2017 11:50,339,Clark St & Elm St,Larrabee St & Oak St,Subscriber,Female,1993
6/1/2017 17:17,6/1/2017 17:23,352,Daley Center Plaza,Canal St & Madison St,Subscriber,Male,1973
4/25/2017 8:26,4/25/2017 8:35,526,Clinton St & Washington Blvd,Aberdeen St & Jackson Blvd,Subscriber,Male,1972
5/15/2017 17:48,5/15/2017 18:07,1141,LaSalle St & Adams St,Morgan St & Polk St,Subscriber,Male,1994
6/30/2017 12:53,6/30/2017 13:01,521,Ogden Ave & Chicago Ave,Ashland Ave & Grand Ave,Subscriber,Female,1987
6/12/2017 7:12,6/12/2017 7:20,499,Wells St & Evergreen Ave,LaSalle St & Illinois St,Subscriber,Male,1980
